tx_nome_parlamentar;sg_uf;sg_partido;manutencao_de_escritorio_de_apoio_a_atividade_parlamentar;combustiveis_e_lubrificantes;consultorias_pesquisas_e_trabalhos_tecnicos;divulgacao_da_atividade_parlamentar;passagem_aerea_reembolso;telefonia;servicos_postais;fornecimento_de_alimentacao_do_parlamentar;hospedagem_exceto_do_parlamentar_no_distrito_federal;locacao_ou_fretamento_de_aeronaves;servico_de_taxi_pedagio_e_estacionamento;passagem_aerea_rpa;locacao_ou_fretamento_de_veiculos_automotores;passagem_aerea_sigepa;passagens_terrestres_maritimas_ou_fluviais;servico_de_seguranca_prestado_por_empresa_especializada;assinatura_de_publicacoes;aquisicao_de_tokens_e_certificados_digitais;locacao_ou_fretamento_de_embarcacoes;participacao_em_curso_palestra_ou_evento_similar
Flaviano Melo;AC;MDB;18880,63;54985,60;108000,00;143750,00;0,00;12738,55;156,73;0,00;684,00;0,0;0,00;29841,50;13420,30;55376,43;0,00;543,00;0,00;0,00;0;0
Chico D'Angelo;RJ;PDT;59923,71;38293,69;0,00;45000,00;0,00;14775,99;652,37;0,00;0,00;0,0;8673,00;37605,11;45000,00;34625,23;0,00;0,00;163,80;0,00;0;0
Hugo Leal;RJ;PSD;64420,29;29344,99;8419,35;31000,00;0,00;16227,87;34,61;0,00;5277,70;0,0;398,51;2133,83;0,00;99348,51;0,00;0,00;0,00;0,00;0;0
João Carlos Bacelar;BA;PL;5217,75;62930,38;10740,00;49500,00;1277,43;3558,00;1786,62;2224,45;3500,00;56998,4;0,00;4499,90;0,00;131851,21;0,00;8000,00;0,00;0,00;0;0
João Maia;RN;PL;25989,20;45276,73;9000,00;176500,00;0,00;1014,88;60,35;0,00;0,00;0,0;280,00;32519,03;56000,00;48524,89;0,00;0,00;0,00;0,00;0;0
José Airton Félix Cirilo;CE;PT;27327,65;66000,00;64840,73;51070,00;6958,65;4777,67;306,42;0,00;5649,70;0,0;0,00;2900,23;32500,00;132196,16;0,00;0,00;0,00;0,00;0;0
José Guimarães;CE;PT;86613,31;22676,62;0,00;21736,10;0,00;10450,65;4308,43;0,00;9870,47;0,0;329,96;4919,38;45760,00;115456,08;0,00;7616,32;889,80;0,00;0;0
Laerte Bessa;DF;PL;0,00;8023,15;0,00;5460,00;0,00;262,01;0,00;824,49;0,00;0,0;0,00;0,00;26760,00;0,00;0,00;0,00;0,00;0,00;0;0
Lázaro Botelho;TO;PP;1697,00;29537,80;55000,00;0,00;0,00;15,25;1474,12;0,00;0,00;0,0;0,00;0,00;28500,00;17670,89;0,00;0,00;0,00;0,00;0;0
Paulo Teixeira;SP;PT;32571,24;8407,61;0,00;163150,00;0,00;19127,72;898,41;1012,36;1481,56;0,0;13834,00;964,00;0,00;70675,96;0,00;0,00;0,00;0,00;0;0
Mauro Nazif;RO;PSB;1015,60;9612,83;0,00;24910,00;18088,56;21,12;7605,94;0,00;0,00;0,0;0,00;0,00;550,00;38980,49;0,00;0,00;0,00;0,00;0;0
Bilac Pinto;MG;UNIÃO;59810,06;0,00;0,00;300000,00;0,00;7104,29;197,06;0,00;0,00;0,0;0,00;1906,23;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Otavio Leite;RJ;PSDB;39437,76;5451,35;12670,74;21542,00;0,00;2785,35;1473,21;232,72;0,00;0,0;0,00;8000,93;0,00;5043,70;0,00;0,00;0,00;0,00;0;0
Paulo Abi-Ackel;MG;PSDB;13953,77;32821,57;98000,00;14000,00;0,00;12450,18;338,70;0,00;0,00;0,0;0,00;4476,69;45200,00;42928,40;0,00;1095,44;0,00;0,00;0;0
Paulinho da Força;SP;SOLIDARIEDADE;440,00;28610,46;0,00;105250,00;1385,39;3330,41;841,42;0,00;0,00;0,0;130,90;48978,43;37800,00;72114,34;0,00;0,00;0,00;0,00;0;0
Raul Henry;PE;MDB;37308,20;28586,89;0,00;0,00;0,00;1966,40;1541,27;597,00;18859,60;0,0;0,00;0,00;70094,70;113789,09;0,00;0,00;2551,90;0,00;0;0
Rodrigo de Castro;MG;UNIÃO;73604,14;40887,54;0,00;7792,30;10482,67;7562,91;506,71;806,11;1487,50;0,0;851,74;19846,20;99050,00;37488,22;0,00;1782,96;0,00;0,00;0;0
Valtenir Pereira;MT;MDB;0,00;18485,07;81700,00;12000,00;3078,01;3048,16;2800,17;968,69;134,00;0,0;598,24;0,00;19800,00;15209,13;0,00;0,00;0,00;0,00;0;0
Vanderlei Macris;SP;PSDB;54485,38;27185,03;111600,00;109138,00;0,00;1110,34;4609,31;0,00;371,56;0,0;7131,51;71,54;23050,00;49183,46;0,00;0,00;0,00;0,00;0;0
Vinicius Carvalho;SP;REPUBLICANOS;102599,65;34253,21;70000,00;20190,00;0,00;5584,51;132,02;0,00;13454,85;0,0;10053,38;6305,04;7818,21;66086,39;0,00;0,00;0,00;0,00;0;0
Tiago Dimas;TO;PODE;41218,42;57027,96;45000,00;64689,50;7052,68;9830,99;0,00;0,00;34885,37;0,0;0,00;11109,40;4300,00;57939,55;1449,03;6361,00;0,00;0,00;0;0
Domingos Neto;CE;PSD;25792,43;0,00;15000,00;140500,00;0,00;1406,60;0,00;0,00;0,00;32850,0;0,00;19666,36;75620,00;33995,55;0,00;0,00;0,00;0,00;0;0
Neri Geller;MT;PP;54717,87;33170,21;0,00;42000,00;0,00;1994,61;0,00;172,75;13557,86;0,0;939,57;0,00;107700,00;68533,59;0,00;0,00;0,00;0,00;0;0
Marcelo Aro;MG;PP;143856,27;20432,98;0,00;23600,00;0,00;7783,72;1438,20;0,00;4728,77;0,0;92,80;0,00;77433,33;28133,73;0,00;0,00;1016,30;0,00;0;0
Márcio Marinho;BA;REPUBLICANOS;78648,20;45030,88;0,00;114000,00;0,00;11962,01;3416,43;0,00;3364,51;0,0;0,00;0,00;26700,00;94444,91;0,00;0,00;0,00;0,00;0;0
Laercio Oliveira;SE;PP;0,00;29715,77;41000,00;0,00;0,00;14317,25;3246,23;0,00;2708,00;0,0;0,00;0,00;101704,00;107904,50;0,00;0,00;0,00;0,00;0;0
Glauber Braga;RJ;PSOL;33370,41;24237,41;0,00;51427,62;0,00;17913,85;425,96;133,01;0,00;0,0;2296,70;68154,95;0,00;43562,34;0,00;0,00;0,00;0,00;0;0
Roberto Alves;SP;REPUBLICANOS;52692,07;24485,48;60000,00;10000,00;0,00;3747,49;1281,55;0,00;1094,60;0,0;82,70;9757,75;66665,00;3647,10;0,00;0,00;0,00;0,00;0;0
Milton Vieira;SP;REPUBLICANOS;62493,80;28183,53;0,00;20980,00;0,00;469,61;721,66;0,00;0,00;0,0;0,00;0,00;65060,00;106771,87;0,00;0,00;0,00;0,00;0;0
Eleuses Paiva;SP;PSD;2877,00;13345,23;0,00;0,00;3095,71;699,80;315,88;399,33;0,00;0,0;889,05;15042,45;9953,52;51781,30;0,00;0,00;0,00;0,00;0;0
